route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,booking_rule_id
4930,c_20371_b_27207_d_127,t_1239033_b_27207_tn_4,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239033_b_27207_tn_5,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239033_b_27207_tn_6,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239034_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239034_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239034_b_27207_tn_3,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239035_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239035_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239035_b_27207_tn_3,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239036_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239036_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239036_b_27207_tn_3,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239037_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239037_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239038_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239038_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239038_b_27207_tn_3,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239039_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239039_b_27207_tn_3,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239040_b_27207_tn_0,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239041_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239041_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239042_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239042_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239043_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239043_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239043_b_27207_tn_3,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239043_b_27207_tn_4,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239044_b_27207_tn_1,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239044_b_27207_tn_2,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239044_b_27207_tn_3,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239044_b_27207_tn_4,,Whitwood Mall,1,,p_8187,,,,,,,,,,,
4930,c_20371_b_27207_d_127,t_1239045_b_27207_tn_1,,Pico Terminal,1,,p_8186,,,,,,,,,,,
