,trip_id,stop_sequence,stop_id,route_code
2289,10260002981328-JUNE23,95,1866,260.0
2290,10260002981352-JUNE23,95,1866,260.0
2291,10260002981917-JUNE23,95,1866,260.0
2292,70260002981900-JUNE23,95,1866,260.0
2293,70260002981958-JUNE23,95,1866,260.0
2294,70260002982057-JUNE23,95,1866,260.0
2295,70260002982159-JUNE23,95,1866,260.0
2296,10260002982159-JUNE23,95,1866,260.0
2297,10260002982129-JUNE23,95,1866,260.0
2298,10260002982056-JUNE23,95,1866,260.0
2299,10260002982022-JUNE23,95,1866,260.0
2300,10260002981950-JUNE23,95,1866,260.0
2301,10260002981845-JUNE23,95,1866,260.0
2302,10260002981416-JUNE23,95,1866,260.0
2303,10260002981818-JUNE23,95,1866,260.0
2304,10260002981749-JUNE23,95,1866,260.0
2305,10260002981727-JUNE23,95,1866,260.0
2306,10260002981648-JUNE23,95,1866,260.0
2307,10260002981617-JUNE23,95,1866,260.0
2308,10260002981552-JUNE23,95,1866,260.0
2309,10260002981527-JUNE23,95,1866,260.0
2310,10260002981503-JUNE23,95,1866,260.0
2311,10260002981440-JUNE23,95,1866,260.0
2312,60260002980650-JUNE23,95,1866,260.0
2313,10081003191344-JUNE23,95,10438,81.0
2314,60260002980741-JUNE23,95,1866,260.0
2315,70081003190921-JUNE23,95,10438,81.0
2316,70081003191000-JUNE23,95,10438,81.0
2317,70081003191019-JUNE23,95,10438,81.0
2318,70081003191039-JUNE23,95,10438,81.0
2319,70081003191059-JUNE23,95,10438,81.0
2320,70081003191120-JUNE23,95,10438,81.0
2321,70081003191158-JUNE23,95,10438,81.0
2322,70081003191235-JUNE23,95,10438,81.0
2323,70081003191313-JUNE23,95,10438,81.0
2324,70081003191351-JUNE23,95,10438,81.0
2325,70081003191431-JUNE23,95,10438,81.0
2326,70081003191512-JUNE23,95,10438,81.0
2327,70081003191532-JUNE23,95,10438,81.0
2328,70081003191553-JUNE23,95,10438,81.0
2329,70081003191613-JUNE23,95,10438,81.0
2330,60260002980759-JUNE23,95,1866,260.0
2331,70081003191653-JUNE23,95,10438,81.0
2332,70081003191713-JUNE23,95,10438,81.0
2333,70081003191733-JUNE23,95,10438,81.0
2334,70081003191757-JUNE23,95,10438,81.0
2335,70081003191820-JUNE23,95,10438,81.0
2336,70081003191845-JUNE23,95,10438,81.0
2337,70081003191909-JUNE23,95,10438,81.0
2338,70081003191932-JUNE23,95,10438,81.0
2339,70081003190940-JUNE23,95,10438,81.0
2340,70081003190903-JUNE23,95,10438,81.0
2341,70081003202023-JUNE23,95,10438,81.0
2342,70081003190843-JUNE23,95,10438,81.0
2343,60260002981052-JUNE23,95,1866,260.0
2344,60260002981131-JUNE23,95,1866,260.0
2345,60260002981212-JUNE23,95,1866,260.0
2346,60260002981252-JUNE23,95,1866,260.0
2347,60260002981332-JUNE23,95,1866,260.0
2348,60260002981413-JUNE23,95,1866,260.0
2349,60260002981454-JUNE23,95,1866,260.0
2350,60260002981534-JUNE23,95,1866,260.0
2351,60260002981614-JUNE23,95,1866,260.0
2352,60260002981654-JUNE23,95,1866,260.0
2353,60260002981726-JUNE23,95,1866,260.0
2354,60260002981806-JUNE23,95,1866,260.0
2355,60260002981900-JUNE23,95,1866,260.0
2356,70081003190425-JUNE23,95,10438,81.0
2357,70081003190523-JUNE23,95,10438,81.0
2358,70081003190636-JUNE23,95,10438,81.0
2359,70081003190705-JUNE23,95,10438,81.0
